dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000998,1.000000,0.000018,0.001778,0.088891,4.444536,6.282187
0.020000,0.000995,1.000000,0.000020,0.000133,-0.082237,-8.556397,6.282190
0.020000,0.000991,1.000000,0.000025,0.000222,0.004436,4.333648,6.282194
0.020000,0.000985,1.000000,0.000031,0.000311,0.004436,0.000006,6.282201
0.020000,0.000977,1.000000,0.000039,0.000399,0.004436,0.000008,6.282208
0.020000,0.000967,1.000000,0.000049,0.000488,0.004436,0.000011,6.282218
0.020000,0.000956,1.000000,0.000060,0.000577,0.004437,0.000013,6.282230
0.020000,0.000942,1.000000,0.000074,0.000665,0.004437,0.000015,6.282243
0.020000,0.000927,1.000000,0.000089,0.000754,0.004437,0.000018,6.282258
0.020000,0.000910,1.000000,0.000106,0.000843,0.004438,0.000020,6.282275
0.020000,0.000892,1.000000,0.000124,0.000932,0.004438,0.000022,6.282294
0.020000,0.000871,1.000000,0.000145,0.001020,0.004439,0.000025,6.282314
0.020000,0.000849,1.000000,0.000167,0.001109,0.004439,0.000027,6.282336
0.020000,0.000825,1.000000,0.000191,0.001198,0.004440,0.000030,6.282360
0.020000,0.000799,1.000000,0.000217,0.001287,0.004440,0.000032,6.282386
0.020000,0.000772,1.000000,0.000244,0.001376,0.004441,0.000034,6.282413
0.020000,0.000743,1.000000,0.000273,0.001464,0.004442,0.000037,6.282443
0.020000,0.000711,1.000000,0.000304,0.001553,0.004443,0.000039,6.282474
0.020000,0.000679,1.000000,0.000337,0.001642,0.004443,0.000041,6.282507
0.020000,0.000644,1.000000,0.000372,0.001731,0.004444,0.000044,6.282541
0.020000,0.000608,1.000000,0.000408,0.001820,0.004445,0.000046,6.282578
0.020000,0.000569,1.000000,0.000446,0.001909,0.004446,0.000049,6.282616
0.020000,0.000529,1.000000,0.000486,0.001998,0.004447,0.000051,6.282656
0.020000,0.000488,1.000000,0.000528,0.002087,0.004448,0.000053,6.282698
0.020000,0.000444,1.000000,0.000572,0.002176,0.004449,0.000056,6.282741
0.020000,0.000399,1.000000,0.000617,0.002265,0.004450,0.000058,6.282786
0.020000,0.000352,1.000000,0.000664,0.002354,0.004452,0.000060,6.282833
0.020000,0.000303,1.000000,0.000713,0.002443,0.004453,0.000063,6.282882
0.020000,0.000252,1.000000,0.000764,0.002532,0.004454,0.000065,6.282933
0.020000,0.000200,1.000000,0.000816,0.002621,0.004456,0.000068,6.282985
0.020000,0.000146,1.000000,0.000870,0.002710,0.004457,0.000070,6.283040
0.020000,0.000090,1.000000,0.000926,0.002799,0.004458,0.000072,6.283096
0.020000,0.000032,1.000000,0.000984,0.002889,0.004460,0.000075,6.283153
0.020000,0.000524,1.000000,0.001476,0.024612,1.086156,54.084794,0.000028
0.020000,0.001690,1.000000,0.002642,0.058293,1.684068,29.895609,0.000089
0.020000,0.002890,1.000000,0.003842,0.059978,0.084267,-79.990073,0.000152
0.020000,0.004123,1.000000,0.005075,0.061663,0.084248,-0.000926,0.000217
0.020000,0.005390,1.000001,0.006342,0.063348,0.084229,-0.000952,0.000284
0.020000,0.006691,1.000001,0.007642,0.065032,0.084209,-0.000978,0.000352
0.020000,0.008025,1.000002,0.008977,0.066716,0.084189,-0.001004,0.000423
0.020000,0.009393,1.000002,0.010345,0.068399,0.084169,-0.001030,0.000495
0.020000,0.010794,1.000003,0.011746,0.070082,0.084148,-0.001056,0.000569
0.020000,0.012230,1.000004,0.013182,0.071765,0.084126,-0.001082,0.000644
0.020000,0.013699,1.000005,0.014651,0.073447,0.084104,-0.001108,0.000722
0.020000,0.015201,1.000006,0.016153,0.075128,0.084081,-0.001134,0.000801
0.020000,0.016737,1.000007,0.017689,0.076810,0.084058,-0.001160,0.000882
0.020000,0.018307,1.000009,0.019259,0.078490,0.084034,-0.001186,0.000965
0.020000,0.019912,1.000010,0.020864,0.080217,0.086315,0.114051,0.001050
0.020000,0.021550,1.000012,0.022502,0.081932,0.085774,-0.027057,0.001136
0.020000,0.023222,1.000014,0.024174,0.083613,0.084044,-0.086528,0.001225
0.020000,0.024928,1.000016,0.025880,0.085293,0.084018,-0.001292,0.001315
0.020000,0.026668,1.000019,0.027620,0.086973,0.083991,-0.001318,0.001407
0.020000,0.028441,1.000021,0.029393,0.088652,0.083964,-0.001344,0.001500
0.020000,0.030247,1.000024,0.031199,0.090331,0.083937,-0.001370,0.001596
0.020000,0.032088,1.000027,0.033040,0.092009,0.083909,-0.001396,0.001693
0.020000,0.033961,1.000030,0.034913,0.093687,0.083881,-0.001422,0.001793
0.020000,0.035869,1.000034,0.036821,0.095364,0.083852,-0.001448,0.001893
0.020000,0.037809,1.000038,0.038761,0.097040,0.083822,-0.001474,0.001996
0.020000,0.039786,1.000042,0.040738,0.098808,0.088364,0.227077,0.002101
0.020000,0.041795,1.000046,0.042747,0.100492,0.084211,-0.207619,0.002207
0.020000,0.043839,1.000051,0.044791,0.102168,0.083814,-0.019877,0.002316
0.020000,0.045916,1.000056,0.046868,0.103844,0.083782,-0.001580,0.002426
0.020000,0.048026,1.000061,0.048978,0.105519,0.083750,-0.001606,0.002538
0.020000,0.050170,1.000066,0.051122,0.107193,0.083717,-0.001632,0.002652
0.020000,0.052347,1.000072,0.053299,0.108867,0.083684,-0.001658,0.002767
0.020000,0.054558,1.000079,0.055510,0.110540,0.083651,-0.001684,0.002885
0.020000,0.056802,1.000085,0.057754,0.112212,0.083616,-0.001710,0.003004
