dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-1.121293,11.696376,0.000213,0.021334,1.066689,53.334437,0.095575
0.020000,-1.121233,11.696381,0.000273,0.002995,-0.916917,-99.180311,0.095570
0.020000,-1.121134,11.696391,0.000373,0.004992,0.099834,50.837552,0.095561
0.020000,-1.120995,11.696404,0.000513,0.006988,0.099813,-0.001046,0.095549
0.020000,-1.120816,11.696421,0.000693,0.008984,0.099783,-0.001464,0.095534
0.020000,-1.120597,11.696442,0.000912,0.010979,0.099746,-0.001883,0.095515
0.020000,-1.120339,11.696467,0.001172,0.012973,0.099700,-0.002301,0.095493
0.020000,-1.120041,11.696496,0.001471,0.014966,0.099645,-0.002719,0.095468
0.020000,-1.119703,11.696528,0.001810,0.016957,0.099583,-0.003137,0.095439
0.020000,-1.119326,11.696564,0.002189,0.018948,0.099511,-0.003555,0.095406
0.020000,-1.118909,11.696604,0.002608,0.020936,0.099432,-0.003972,0.095371
0.020000,-1.118453,11.696648,0.003066,0.022923,0.099344,-0.004390,0.095332
0.020000,-1.117957,11.696695,0.003564,0.024908,0.099248,-0.004807,0.095289
0.020000,-1.117422,11.696746,0.004102,0.026891,0.099144,-0.005224,0.095244
0.020000,-1.116847,11.696801,0.004680,0.028872,0.099031,-0.005640,0.095195
0.020000,-1.116233,11.696860,0.005297,0.030850,0.098910,-0.006057,0.095142
0.020000,-1.115579,11.696922,0.005953,0.032825,0.098780,-0.006473,0.095086
0.020000,-1.114886,11.696988,0.006649,0.034798,0.098642,-0.006889,0.095027
0.020000,-1.114154,11.697058,0.007384,0.036768,0.098496,-0.007304,0.094964
0.020000,-1.113383,11.697131,0.008159,0.038735,0.098342,-0.007719,0.094898
0.020000,-1.112573,11.697208,0.008973,0.040699,0.098179,-0.008134,0.094829
0.020000,-1.111723,11.697289,0.009826,0.042659,0.098008,-0.008548,0.094756
0.020000,-1.104815,11.697945,0.016766,0.346989,15.216487,755.923955,0.094681
0.020000,-1.093908,11.698981,0.027722,0.547805,10.040824,-258.783180,0.094601
0.020000,-1.082537,11.700059,0.039144,0.571107,1.165117,-443.785366,0.094519
0.020000,-1.070701,11.701181,0.051032,0.594409,1.165063,-0.002672,0.094433
0.020000,-1.058402,11.702345,0.063387,0.617709,1.165007,-0.002782,0.094344
0.020000,-1.045639,11.703552,0.076207,0.641008,1.164950,-0.002893,0.094251
0.020000,-1.032412,11.704802,0.089493,0.664306,1.164890,-0.003004,0.094155
0.020000,-1.018721,11.706094,0.103245,0.687602,1.164827,-0.003115,0.094056
0.020000,-1.004565,11.707429,0.117463,0.710897,1.164763,-0.003227,0.093954
0.020000,-0.989949,11.708805,0.132144,0.734065,1.158374,-0.319441,0.093849
0.020000,-0.974873,11.710223,0.147287,0.757120,1.152756,-0.280875,0.093740
0.020000,-0.959333,11.711683,0.162895,0.780400,1.163997,0.562013,0.093628
0.020000,-0.943330,11.713185,0.178968,0.803678,1.163923,-0.003672,0.093513
0.020000,-0.926863,11.714729,0.195507,0.826955,1.163847,-0.003785,0.093394
0.020000,-0.909933,11.716313,0.212512,0.850231,1.163770,-0.003898,0.093272
0.020000,-0.892538,11.717940,0.229982,0.873505,1.163689,-0.004012,0.093148
0.020000,-0.874683,11.719606,0.247915,0.896673,1.158436,-0.262651,0.093019
0.020000,-0.856370,11.721314,0.266308,0.919607,1.146709,-0.586373,0.092888
0.020000,-0.837594,11.723061,0.285165,0.942865,1.162879,0.808535,0.092754
0.020000,-0.818354,11.724850,0.304487,0.966121,1.162790,-0.004464,0.092616
0.020000,-0.798651,11.726678,0.324275,0.989375,1.162699,-0.004579,0.092476
0.020000,-0.778485,11.728547,0.344527,1.012627,1.162605,-0.004695,0.092332
0.020000,-0.757858,11.730456,0.365243,1.035759,1.156606,-0.299922,0.092185
0.020000,-0.736775,11.732403,0.386415,1.058622,1.143136,-0.673502,0.092035
0.020000,-0.715230,11.734390,0.408052,1.081857,1.161757,0.931052,0.091882
0.020000,-0.693221,11.736416,0.430154,1.105090,1.161654,-0.005156,0.091726
0.020000,-0.670749,11.738481,0.452720,1.128321,1.161549,-0.005273,0.091567
0.020000,-0.647815,11.740585,0.475751,1.151550,1.161441,-0.005391,0.091404
0.020000,-0.624428,11.742727,0.499236,1.174249,1.134968,-1.323633,0.091239
0.020000,-0.600578,11.744907,0.523185,1.197434,1.159253,1.214226,0.091071
0.020000,-0.576266,11.747125,0.547598,1.220645,1.160555,0.065111,0.090900
0.020000,-0.551492,11.749381,0.572475,1.243854,1.160438,-0.005863,0.090725
0.020000,-0.526257,11.751675,0.597814,1.266961,1.155362,-0.253785,0.090548
0.020000,-0.500569,11.754005,0.623607,1.289657,1.134802,-1.027976,0.090368
0.020000,-0.474419,11.756372,0.649864,1.312848,1.159527,1.236215,0.090185
0.020000,-0.447806,11.758776,0.676585,1.336036,1.159400,-0.006343,0.089999
0.020000,-0.420732,11.761217,0.703769,1.359221,1.159271,-0.006466,0.089810
0.020000,-0.393205,11.763693,0.731408,1.381908,1.134360,-1.245542,0.089618
0.020000,-0.365219,11.766205,0.759506,1.404926,1.150898,0.826917,0.089423
0.020000,-0.336771,11.768753,0.788068,1.428093,1.158327,0.371435,0.089226
0.020000,-0.307861,11.771336,0.817093,1.451257,1.158188,-0.006957,0.089026
0.020000,-0.278498,11.773954,0.846572,1.473958,1.135089,-1.154951,0.088822
0.020000,-0.248678,11.776607,0.876510,1.496879,1.146009,0.546033,0.088617
0.020000,-0.218397,11.779294,0.906910,1.520023,1.157218,0.560416,0.088408
0.020000,-0.187654,11.782016,0.937774,1.543164,1.157068,-0.007460,0.088196
0.020000,-0.156461,11.784771,0.969088,1.565709,1.127231,-1.491878,0.087982
0.020000,-0.124810,11.787559,1.000862,1.588702,1.149661,1.121511,0.087765
0.020000,-0.092697,11.790381,1.033098,1.611824,1.156072,0.320519,0.087546
0.020000,-0.060126,11.793237,1.065795,1.634809,1.149270,-0.340085,0.087323
0.020000,-0.027106,11.796124,1.098940,1.657294,1.124226,-1.252207,0.087098
0.020000,0.006375,11.799043,1.132548,1.680395,1.155055,1.541455,0.086871
0.020000,0.040317,11.801995,1.166618,1.703492,1.154887,-0.008369,0.086641
0.020000,0.074708,11.804978,1.201139,1.726024,1.126601,-1.414338,0.086408
0.020000,0.109556,11.807993,1.236116,1.748877,1.142609,0.800420,0.086172
0.020000,0.144863,11.811039,1.271555,1.771953,1.153842,0.561667,0.085934
0.020000,0.180625,11.814115,1.307449,1.794701,1.137353,-0.824472,0.085694
0.020000,0.216838,11.817222,1.343795,1.817269,1.128407,-0.447283,0.085451
0.020000,0.253510,11.820358,1.380601,1.840324,1.152776,1.218458,0.085205
0.020000,0.290639,11.823525,1.417865,1.863190,1.143284,-0.474621,0.084958
0.020000,0.328215,11.826720,1.455576,1.885570,1.119005,-1.213954,0.084707
0.020000,0.366251,11.829945,1.493748,1.908604,1.151689,1.634205,0.084454
0.020000,0.404743,11.833199,1.532378,1.931493,1.144480,-0.360444,0.084199
0.020000,0.443681,11.836480,1.571454,1.953780,1.114315,-1.508273,0.083942
0.020000,0.483078,11.839790,1.610990,1.976791,1.150580,1.813244,0.083682
0.020000,0.522931,11.843127,1.650982,1.999612,1.141028,-0.477578,0.083419
0.020000,0.563228,11.846491,1.691420,2.021897,1.114249,-1.338966,0.083155
0.020000,0.603985,11.849883,1.732318,2.044886,1.149447,1.759934,0.082888
0.020000,0.645195,11.853301,1.773668,2.067546,1.133015,-0.821634,0.082619
0.020000,0.686851,11.856745,1.815467,2.089920,1.118719,-0.714808,0.082348
0.020000,0.728966,11.860215,1.857725,2.112886,1.148292,1.478660,0.082074
0.020000,0.771529,11.863710,1.900431,2.135297,1.120528,-1.388199,0.081799
0.020000,0.814542,11.867230,1.943588,2.157849,1.127635,0.355380,0.081521
0.020000,0.858013,11.870776,1.987203,2.180792,1.147112,0.973829,0.081241
0.020000,0.901926,11.874345,2.031261,2.202865,1.103655,-2.172841,0.080959
0.020000,0.946294,11.877938,2.075774,2.225683,1.140910,1.862731,0.080674
0.020000,0.991115,11.881556,2.120741,2.248331,1.132379,-0.426514,0.080388
0.020000,1.036379,11.885196,2.166151,2.270521,1.109540,-1.141956,0.080100
