dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000213,0.021334,1.066689,53.334437,0.095575
0.020000,0.000000,0.000000,0.000853,0.042668,1.066689,0.000000,0.095570
0.020000,0.000000,0.000000,0.001920,0.064001,1.066689,0.000000,0.095561
0.020000,0.000000,0.000000,0.003413,0.085335,1.066689,-0.000000,0.095549
0.020000,0.000000,0.000000,0.005333,0.106669,1.066689,0.000000,0.095534
0.020000,0.000000,0.000000,0.007680,0.128003,1.066689,-0.000000,0.095515
0.020000,0.000000,0.000000,0.010454,0.149336,1.066689,-0.000000,0.095493
0.020000,0.000000,0.000000,0.013654,0.170670,1.066689,0.000000,0.095468
0.020000,0.000000,0.000000,0.017280,0.192004,1.066689,0.000000,0.095439
0.020000,0.000000,0.000000,0.021334,0.213338,1.066689,0.000000,0.095406
0.020000,0.000000,0.000000,0.025814,0.234672,1.066689,-0.000000,0.095371
0.020000,0.000000,0.000000,0.030721,0.256005,1.066689,0.000000,0.095332
0.020000,0.000000,0.000000,0.036054,0.277339,1.066689,-0.000000,0.095289
0.020000,0.000000,0.000000,0.041814,0.298673,1.066689,0.000000,0.095244
0.020000,0.000000,0.000000,0.048001,0.320007,1.066689,-0.000000,0.095195
0.020000,0.000000,0.000000,0.054614,0.341340,1.066689,0.000000,0.095142
0.020000,0.000000,0.000000,0.061655,0.362674,1.066689,0.000000,0.095086
0.020000,0.000000,0.000000,0.069121,0.384008,1.066689,0.000000,0.095027
0.020000,0.000000,0.000000,0.077015,0.405342,1.066689,0.000000,0.094964
0.020000,0.000000,0.000000,0.085335,0.426675,1.066689,0.000000,0.094898
0.020000,0.000000,0.000000,0.094082,0.448009,1.066689,-0.000000,0.094829
0.020000,0.000000,0.000000,0.103255,0.469343,1.066689,0.000000,0.094756
0.020000,0.006020,0.000572,0.112856,0.490677,1.066689,0.000000,0.094681
0.020000,0.016001,0.001519,0.122883,0.512011,1.066689,0.000000,0.094601
0.020000,0.026406,0.002506,0.133336,0.533344,1.066689,-0.000000,0.094519
0.020000,0.037237,0.003532,0.144216,0.554678,1.066689,-0.000000,0.094433
0.020000,0.048493,0.004598,0.155523,0.576012,1.066689,0.000000,0.094344
0.020000,0.060174,0.005703,0.167257,0.597346,1.066689,0.000000,0.094251
0.020000,0.072281,0.006847,0.179417,0.618679,1.066689,0.000000,0.094155
0.020000,0.084814,0.008030,0.192004,0.640013,1.066689,-0.000000,0.094056
0.020000,0.097772,0.009251,0.205018,0.661347,1.066689,0.000000,0.093954
0.020000,0.111154,0.010512,0.218458,0.682681,1.066689,0.000000,0.093849
0.020000,0.124958,0.011810,0.232325,0.704015,1.066689,0.000000,0.093740
0.020000,0.139187,0.013147,0.246618,0.725348,1.066689,0.000000,0.093628
0.020000,0.153842,0.014522,0.261339,0.746682,1.066689,0.000000,0.093513
0.020000,0.168923,0.015936,0.276486,0.768016,1.066689,0.000000,0.093394
0.020000,0.184430,0.017387,0.292059,0.789350,1.066689,0.000000,0.093272
0.020000,0.200363,0.018877,0.308060,0.810683,1.066689,0.000000,0.093148
0.020000,0.216721,0.020404,0.324487,0.832017,1.066689,-0.000000,0.093019
0.020000,0.233499,0.021968,0.341340,0.853351,1.066689,0.000000,0.092888
0.020000,0.250703,0.023570,0.358621,0.874685,1.066689,-0.000000,0.092754
0.020000,0.268333,0.025208,0.376328,0.896019,1.066689,0.000000,0.092616
0.020000,0.286390,0.026884,0.394461,0.917352,1.066689,0.000000,0.092476
0.020000,0.304874,0.028597,0.413022,0.938686,1.066689,-0.000000,0.092332
0.020000,0.323782,0.030346,0.432009,0.960020,1.066689,0.000000,0.092185
0.020000,0.343110,0.032132,0.451423,0.981354,1.066689,-0.000000,0.092035
0.020000,0.362865,0.033954,0.471263,1.002687,1.066689,0.000000,0.091882
0.020000,0.383047,0.035812,0.491530,1.024021,1.066689,0.000000,0.091726
0.020000,0.403656,0.037706,0.512224,1.045355,1.066689,-0.000000,0.091567
0.020000,0.424692,0.039635,0.533344,1.066689,1.066689,0.000000,0.091404
0.020000,0.446145,0.041600,0.554891,1.088023,1.066689,-0.000000,0.091239
0.020000,0.468026,0.043600,0.576865,1.109356,1.066689,0.000000,0.091071
0.020000,0.490334,0.045635,0.599266,1.130690,1.066689,0.000000,0.090900
0.020000,0.513069,0.047706,0.622093,1.152024,1.066689,0.000000,0.090725
0.020000,0.536230,0.049811,0.645347,1.173358,1.066689,0.000000,0.090548
0.020000,0.559810,0.051950,0.669027,1.194691,1.066689,0.000000,0.090368
0.020000,0.583818,0.054123,0.693134,1.216025,1.066689,0.000000,0.090185
0.020000,0.608253,0.056330,0.717668,1.237359,1.066689,0.000000,0.089999
0.020000,0.633117,0.058572,0.742629,1.258693,1.066689,0.000000,0.089810
0.020000,0.658399,0.060846,0.768016,1.280026,1.066689,-0.000000,0.089618
0.020000,0.684107,0.063154,0.793830,1.301360,1.066689,0.000000,0.089423
0.020000,0.710244,0.065494,0.820070,1.322694,1.066689,-0.000000,0.089226
0.020000,0.736809,0.067868,0.846738,1.344028,1.066689,0.000000,0.089026
0.020000,0.763794,0.070274,0.873831,1.365362,1.066689,-0.000000,0.088822
0.020000,0.791204,0.072713,0.901352,1.386695,1.066689,0.000000,0.088617
0.020000,0.819043,0.075183,0.929299,1.408029,1.066689,0.000000,0.088408
0.020000,0.847310,0.077686,0.957673,1.429363,1.066689,0.000000,0.088196
0.020000,0.875996,0.080219,0.986474,1.450697,1.066689,0.000000,0.087982
0.020000,0.905109,0.082784,1.015701,1.472030,1.066689,0.000000,0.087765
0.020000,0.934650,0.085380,1.045355,1.493364,1.066689,0.000000,0.087546
0.020000,0.964619,0.088007,1.075436,1.514698,1.066689,0.000000,0.087323
0.020000,0.995006,0.090664,1.105943,1.536032,1.066689,0.000000,0.087098
0.020000,1.025823,0.093351,1.136877,1.557366,1.066689,0.000000,0.086871
0.020000,1.057070,0.096069,1.168238,1.578699,1.066689,0.000000,0.086641
