dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.121293,-11.696376,0.000213,0.021334,1.066689,53.334437,0.095575
0.020000,1.121233,-11.696381,0.000273,0.002995,-0.916917,-99.180311,0.095570
0.020000,1.121134,-11.696391,0.000373,0.004992,0.099834,50.837552,0.095561
0.020000,1.120995,-11.696404,0.000513,0.006988,0.099813,-0.001046,0.095549
0.020000,1.120816,-11.696421,0.000693,0.008984,0.099783,-0.001464,0.095534
0.020000,1.120597,-11.696442,0.000912,0.010979,0.099746,-0.001883,0.095515
0.020000,1.120339,-11.696467,0.001172,0.012973,0.099700,-0.002301,0.095493
0.020000,1.120041,-11.696496,0.001471,0.014966,0.099645,-0.002719,0.095468
0.020000,1.119703,-11.696528,0.001810,0.016957,0.099583,-0.003137,0.095439
0.020000,1.119326,-11.696564,0.002189,0.018948,0.099511,-0.003555,0.095406
0.020000,1.118909,-11.696604,0.002608,0.020936,0.099432,-0.003972,0.095371
0.020000,1.118453,-11.696648,0.003066,0.022923,0.099344,-0.004390,0.095332
0.020000,1.117957,-11.696695,0.003564,0.024908,0.099248,-0.004807,0.095289
0.020000,1.117422,-11.696746,0.004102,0.026891,0.099144,-0.005224,0.095244
0.020000,1.116847,-11.696801,0.004680,0.028872,0.099031,-0.005640,0.095195
0.020000,1.116233,-11.696860,0.005297,0.030850,0.098910,-0.006057,0.095142
0.020000,1.115579,-11.696922,0.005953,0.032825,0.098780,-0.006473,0.095086
0.020000,1.114886,-11.696988,0.006649,0.034798,0.098642,-0.006889,0.095027
0.020000,1.114154,-11.697058,0.007384,0.036768,0.098496,-0.007304,0.094964
0.020000,1.113383,-11.697131,0.008159,0.038735,0.098342,-0.007719,0.094898
0.020000,1.112573,-11.697208,0.008973,0.040699,0.098179,-0.008134,0.094829
0.020000,1.111723,-11.697289,0.009826,0.042659,0.098008,-0.008548,0.094756
0.020000,1.116856,-11.696802,0.014982,0.257771,10.755620,532.880593,0.094681
0.020000,1.125909,-11.695942,0.024076,0.454691,9.845985,-45.481786,0.094601
0.020000,1.135348,-11.695047,0.033557,0.474096,0.970271,-443.785680,0.094519
0.020000,1.145175,-11.694116,0.043428,0.493509,0.970625,0.017720,0.094433
0.020000,1.155388,-11.693149,0.053686,0.512929,0.970994,0.018433,0.094344
0.020000,1.165987,-11.692146,0.064333,0.532356,0.971377,0.019144,0.094251
0.020000,1.176974,-11.691108,0.075369,0.551792,0.971774,0.019855,0.094155
0.020000,1.188348,-11.690035,0.086794,0.571235,0.972185,0.020564,0.094056
0.020000,1.200110,-11.688926,0.098608,0.590688,0.972611,0.021271,0.093954
0.020000,1.212257,-11.687782,0.110809,0.610044,0.967796,-0.240742,0.093849
0.020000,1.224788,-11.686603,0.123395,0.629316,0.963634,-0.208077,0.093740
0.020000,1.237707,-11.685389,0.136371,0.648786,0.973501,0.493340,0.093628
0.020000,1.251014,-11.684140,0.149736,0.668266,0.973982,0.024063,0.093513
0.020000,1.264709,-11.682857,0.163491,0.687756,0.974478,0.024762,0.093394
0.020000,1.278792,-11.681539,0.177636,0.707255,0.974987,0.025460,0.093272
0.020000,1.293265,-11.680186,0.192171,0.726765,0.975510,0.026155,0.093148
0.020000,1.308124,-11.678799,0.207095,0.746200,0.971744,-0.188316,0.093019
0.020000,1.323367,-11.677378,0.222404,0.765452,0.962599,-0.457204,0.092888
0.020000,1.338999,-11.675922,0.238104,0.784986,0.976692,0.704604,0.092754
0.020000,1.355021,-11.674433,0.254195,0.804532,0.977269,0.028892,0.092616
0.020000,1.371432,-11.672910,0.270677,0.824089,0.977861,0.029578,0.092476
0.020000,1.388233,-11.671353,0.287550,0.843658,0.978466,0.030261,0.092332
0.020000,1.405423,-11.669763,0.304813,0.863141,0.974166,-0.215017,0.092185
0.020000,1.422996,-11.668139,0.322461,0.882414,0.963647,-0.525926,0.092035
0.020000,1.440960,-11.666483,0.340501,0.902012,0.979892,0.812255,0.091882
0.020000,1.459315,-11.664793,0.358934,0.921623,0.980551,0.032943,0.091726
0.020000,1.478061,-11.663070,0.377759,0.941248,0.981224,0.033614,0.091567
0.020000,1.497198,-11.661315,0.396976,0.960886,0.981909,0.034284,0.091404
0.020000,1.516718,-11.659527,0.416578,0.980098,0.960602,-1.065386,0.091239
0.020000,1.536630,-11.657707,0.436573,0.999731,0.981667,1.053272,0.091071
0.020000,1.556934,-11.655854,0.456961,1.019403,0.983574,0.095375,0.090900
0.020000,1.577630,-11.653970,0.477743,1.039089,0.984313,0.036903,0.090725
0.020000,1.598717,-11.652053,0.498917,1.058707,0.980922,-0.169541,0.090548
0.020000,1.620189,-11.650106,0.520477,1.077999,0.964596,-0.816269,0.090368
0.020000,1.642054,-11.648126,0.542431,1.097722,0.986134,1.076885,0.090185
0.020000,1.664313,-11.646116,0.564780,1.117460,0.986924,0.039476,0.089999
0.020000,1.686965,-11.644073,0.587525,1.137215,0.987726,0.040121,0.089810
0.020000,1.710003,-11.642001,0.610656,1.156571,0.967799,-0.996332,0.089618
0.020000,1.733434,-11.639898,0.634181,1.176222,0.982568,0.738413,0.089423
0.020000,1.757259,-11.637764,0.658101,1.196017,0.989738,0.358535,0.089226
0.020000,1.781479,-11.635600,0.682418,1.215829,0.990591,0.042633,0.089026
0.020000,1.806087,-11.633406,0.707123,1.235273,0.972213,-0.918891,0.088822
0.020000,1.831086,-11.631182,0.732221,1.254920,0.982349,0.506771,0.088617
0.020000,1.856482,-11.628928,0.757717,1.274775,0.992753,0.520200,0.088408
0.020000,1.882274,-11.626645,0.783610,1.294648,0.993654,0.045092,0.088196
0.020000,1.908453,-11.624333,0.809891,1.314041,0.969650,-1.200228,0.087982
0.020000,1.935027,-11.621992,0.836567,1.333832,0.989513,0.993179,0.087765
0.020000,1.961998,-11.619621,0.863642,1.353751,0.995962,0.322421,0.087546
0.020000,1.989364,-11.617222,0.891114,1.373577,0.991330,-0.231598,0.087323
0.020000,2.017119,-11.614796,0.918974,1.393005,0.971367,-0.998131,0.087098
0.020000,2.045271,-11.612341,0.947233,1.412972,0.998377,1.350464,0.086871
0.020000,2.073823,-11.609858,0.975893,1.432960,0.999362,0.049248,0.086641
0.020000,2.102764,-11.607347,1.004942,1.452493,0.976693,-1.133442,0.086408
0.020000,2.132101,-11.604809,1.034389,1.472319,0.991298,0.730242,0.086172
0.020000,2.161837,-11.602244,1.064236,1.492358,1.001916,0.530907,0.085934
0.020000,2.191969,-11.599652,1.094479,1.512142,0.989201,-0.635757,0.085694
0.020000,2.222493,-11.597034,1.125115,1.531798,0.982836,-0.318218,0.085451
0.020000,2.253418,-11.594388,1.156153,1.551890,1.004572,1.086791,0.085205
0.020000,2.284741,-11.591717,1.187590,1.571845,0.997784,-0.339408,0.084958
0.020000,2.316455,-11.589020,1.219418,1.591416,0.978513,-0.963539,0.084707
0.020000,2.348571,-11.586297,1.251649,1.611562,1.007328,1.440760,0.084454
0.020000,2.381087,-11.583549,1.284281,1.631612,1.002499,-0.241466,0.084199
0.020000,2.413994,-11.580776,1.317305,1.651178,0.978267,-1.211595,0.083942
0.020000,2.447304,-11.577977,1.350733,1.671381,1.010182,1.595752,0.083682
0.020000,2.481015,-11.575154,1.384562,1.691449,1.003402,-0.339015,0.083419
0.020000,2.515118,-11.572307,1.418783,1.711090,0.982037,-1.068227,0.083155
0.020000,2.549626,-11.569436,1.453410,1.731353,1.013131,1.554690,0.082888
0.020000,2.584534,-11.566540,1.488438,1.751364,1.000548,-0.629149,0.082619
0.020000,2.619836,-11.563622,1.523861,1.771159,0.989763,-0.539253,0.082348
0.020000,2.655545,-11.560680,1.559690,1.791482,1.016173,1.320483,0.082074
0.020000,2.691651,-11.557715,1.595918,1.811362,0.993993,-1.108976,0.081799
0.020000,2.728156,-11.554727,1.632546,1.831390,1.001384,0.369530,0.081521
0.020000,2.765069,-11.551716,1.669581,1.851776,1.019304,0.896032,0.081241
0.020000,2.802375,-11.548684,1.707010,1.871452,0.983792,-1.775609,0.080959
0.020000,2.840088,-11.545630,1.744846,1.891789,1.016839,1.652342,0.080674
0.020000,2.878204,-11.542554,1.783086,1.912009,1.011017,-0.291124,0.080388
0.020000,2.916717,-11.539456,1.821723,1.931869,0.993014,-0.900115,0.080100
